country,R0_old,region_sim,days_timeseries,day_30cases,Per_reported,Log10GDP,Pop_bw20_34,logPop_tot,Pop_Urban,Urban_pop,log_Air_trans,Temp,logPercip,GHS,logMort_resp,logMort_infect,logNurses,Social_media,logInternet_filtering,GINI_index,logPollution,Business,growth_rate,R_squared,R0,days_30cases_bin,Per_reported_bin,Log10GDP_bin,logPop_tot_bin,days_timeseries_bin
Italy,2.82,EU,32,35,13,4.509562716,15.9,7.782018807,18.6,70.1,-0.37,4.73,1.873262459,56.2,1.357934847,1.27485032,0.768586308,2.91,0.564666064,35.9,1.22,58,0.178473207,0.99910519,2.04192467,3,1,6,5,5
Japan,2,AS,41,47,14,4.583561479,15.6,8.103070605,64.4,91.5,-0.01,0.12,1.912009376,59.8,2.060999853,1.177824972,1.061392156,2.3,0.559906625,32.9,1.07,29,0.14598851,0.986208337,1.793114476,4,1,6,6,7
Luxembourg,4.93,EU,11,58,46,5.030847762,21.4,5.775491028,0,90.7,0.5,2.23,1.836956737,43.8,1.224533063,1.250420002,1.091652891,1.53,0.592176757,34.9,1.02,72,0.275078639,0.989886279,3.005111153,5,4,7,1,1
Malaysia,1.8,AS,25,55,95,4.010901784,27.8,7.492830597,23.5,75.4,0.28,24.84,2.356370095,62.2,1.716670976,1.582744966,0.609786438,3.55,0.471291711,41,1.21,12,0.100871599,0.930055232,1.497034869,5,7,4,4,4
Mexico,1.66,NOR,34,61,8.9,3.967473091,24.6,8.096135667,40.7,79.9,-0.33,16.48,1.240798771,57.6,1.236285277,1.149527014,0.462397998,2.77,0.553883027,45.4,1.32,60,0.03785544,0.989753544,1.163487268,6,1,4,6,5
Netherlands,2.09,EU,38,48,19,4.686233958,18.6,7.233790219,12.4,91.1,0.4,3.1,1.753889331,75.6,1.490520309,1.164055292,1.045491186,3.3,0.567026366,28.5,1.08,42,0.195601697,0.99926441,2.186728933,5,1,6,4,6
Norway,1.51,EU,20,50,54,4.877928544,20.4,6.722384461,18.9,81.9,0.39,-7.83,1.897187077,64.6,1.57863921,1.055760465,1.258270827,3.36,0.592176757,27,0.84,9,0.070745406,0.949371975,1.327080776,5,4,7,3,3
Pakistan,1.46,AS,37,58,53,3.16583466,25.7,8.317847566,19.88,36.44,-1.52,11.78,1.443106457,35.5,1.605951158,1.889245661,-0.300682699,2.81,0.418301291,33.5,1.77,108,0.045679892,0.97823898,1.200477706,5,4,0,6,6
Panama,1.63,SA,21,62,52,4.180874488,23.3,6.613500487,42.51,67.37,0.47,24.72,1.646403726,43.7,1.34084055,1.562649672,0.149219113,2.92,0.227886705,49.2,1.06,86,0.029900269,0.963569434,1.127047155,6,4,4,3,3
Peru,3.25,SA,33,59,31,3.826755528,24.9,7.49754189,32.42,77.72,-0.29,20.06,2.238447577,49.2,1.89337333,1.315340477,0.130333768,2.75,0.309630167,42.8,1.39,76,0.052912673,0.959356424,1.235716162,5,2,3,4,5
Philippines,5.17,AS,14,61,22,3.474497444,25.1,8.021905352,14.24,46.68,-0.43,24.5,1.965483924,47.6,1.858897957,1.746712023,-0.619788758,1.63,0.08278537,44.4,1.26,95,0.032372581,0.855921325,1.138248099,6,2,2,5,2
Poland,2.37,EU,26,57,29,4.14166859,21.3,7.579495793,4.63,60.11,-0.72,-0.52,1.483729899,55.4,1.496098992,0.762678564,0.757555443,3.08,0.064457989,29.7,1.32,40,0.14843231,0.996570281,1.810728484,5,2,4,5,4
